student_id,judge_content_accuracy,judge_example_evidence,judge_clarity_organization,judge_scientific_vocabulary,judge_total,rationale_content_accuracy,rationale_example_evidence,rationale_clarity_organization,rationale_scientific_vocabulary,llm_called,flagged_for_review,flag_reason,error,retries_used,student_answer,human_content_accuracy,human_example_evidence,human_clarity_organization,human_scientific_vocabulary,human_total,notes
11,5,5,5,5,20,"Genotypic and phenotypic shifts, allele frequency, differential reproductive success — all precise and complete.",Darwin's finches beak-size example is correctly applied with drought as selection pressure and population-level outcome stated.,"Textbook-quality structure: mechanism first, example to illustrate, outcome stated.","heritable variation, fitness, selective pressure, allele frequency, phenotype — all used correctly.",True,False,,,0,"Natural selection occurs due to heritable variation within a population. Individuals with traits that increase fitness in a given selection pressure survive and reproduce at higher rates, passing those alleles to offspring. Over successive generations, allele frequencies shift and the population's average phenotype changes, which is evolution. For instance, in Darwin's finches, beak size varied, and during droughts birds with larger beaks that could crack tougher seeds survived better, shifting the population toward larger beak size.",5,5,5,5,20,"advanced vocabulary, fully correct"
12,0,0,0,0,0,Gibberish — no content to evaluate.,No example present.,Gibberish has no organization.,No vocabulary to assess.,True,False,,,0,asdkfj alksdjf laksjdf,0,0,0,0,0,gibberish
13,1,2,3,1,7,Lamarckian misconception again: giraffes stretching their necks and passing that acquired length to offspring. No natural selection mechanism described.,Giraffe example present but illustrates the wrong mechanism.,"Clearly written, easy to follow — clarity score is not penalized for wrong content.",No natural selection vocabulary; uses everyday language.,True,False,,,0,Giraffes wanted to reach higher leaves so they stretched their necks their whole life and their kids were born with longer necks too.,1,2,3,1,7,"Lamarckian misconception again, common student error"
14,4,4,4,3,15,"Covers variation, differential survival, and reproduction correctly. Heritability implied but not explicitly stated.",Rabbit-fox predation example is correct and concrete; lacks detail on how trait becomes population-level.,Logical structure; clear cause-and-effect reasoning.,Uses 'variation' and 'survive' and 'reproduce' correctly; lacks technical precision on heritability.,True,False,,,0,There is variation in a population. Some individuals survive better than others because of their traits. Example: some rabbits are faster than others so they escape foxes better and live to have babies. Faster rabbits become more common over time.,4,4,4,3,15,"solid, slightly thin vocabulary and example depth"
15,4,4,3,2,13,Correct 'filter' analogy for selection; correctly identifies environmental selection and reproduction. Slightly imprecise on heritability.,"Peppered moth (England industrial pollution) mentioned — correct and relevant, but underdeveloped without the specific mechanism described.",One long sentence; ideas run together. The 'kind of like a filter' phrasing works but the answer lacks clear structure.,Casual language throughout; 'filter' is a useful analogy but not scientific vocabulary.,True,False,,,0,"Natural selection is basically evolution happening because the environment picks who lives, kind of like a filter, and whoever fits through survives and has kids, like how moths changed color during pollution times in England.",4,4,3,2,13,"correct idea in casual language, example present but underdeveloped"
16,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"Population has variation. Environment selects individuals with traits suited to survive; they reproduce more, so those traits become common over generations. Example: pesticide-resistant insects - resistant ones survive spraying and reproduce, so the population becomes resistant over time.",5,4,4,4,17,terse but fully correct - tests whether judge penalizes brevity unfairly
17,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"Natural selection is process where individual which having good trait for environment is survive more and give birth more baby than other, so this trait become common in population after many generation. Example is antibiotic resistant bacteria, they was already have mutation before medicine come, and after medicine only resistant bacteria stay alive and make more bacteria.",5,4,4,3,16,non-native English phrasing but content and organization are correct - tests fairness/bias (grammar should not tank the clarity score)
18,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,Natural selection is a really important and complex idea in biology and there are a lot of things to say about it but basically what happens is that over a very long period of time across many many generations of a population of organisms living in some environment somewhere the ones with traits that happen to help them survive and find food and avoid predators tend to survive longer and have more offspring than the ones without those helpful traits so eventually most of the population has those good traits which is what we call evolution and a good example of this is sickle cell trait and malaria resistance in humans.,5,5,3,4,17,correct but rambling and disorganized - tests whether judge separates content quality from organization
19,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,Cells divide through mitosis to create two identical daughter cells with the same number of chromosomes as the parent cell.,1,0,2,1,4,off-topic - describes mitosis instead of natural selection
20,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,Natural selection is when scientists change an animal's DNA in a lab to give it better traits so it survives.,1,1,3,2,7,confuses natural selection with genetic engineering
21,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,Natural selection is a mechanism of evolution where the environment selects favorable traits.,3,0,3,3,9,"definition only, no mechanism depth, no example"
22,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"Natural selection happens when the strongest individuals choose to change their behavior to survive better, like how the dodo bird decided to stop flying to save energy.",2,1,4,2,9,mechanism misunderstood as choice/intent; example is factually questionable and not actually about heritable trait selection
23,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"Individual animals evolve during their life to get better at surviving, and then they teach their babies the new skills so the whole species gets better over time.",2,2,3,2,9,confuses individual adaptation/learning with population-level evolution
24,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"Variation plus selection plus heritability equals evolution. Giraffes with longer necks reached more food, survived, and passed the trait on.",4,3,3,3,13,very short but essentially correct and complete
25,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"The fittest animals survive because they are the fittest, and we know they are the fittest because they survived.",2,1,3,3,9,circular reasoning / tautology version of the 'survival of the fittest' misconception
26,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"Bacteria in a population vary naturally, and some happen to carry a mutation that makes them resistant to a certain antibiotic even before that antibiotic is used. When the antibiotic is introduced, non-resistant bacteria die off while resistant ones survive and reproduce, so the population becomes mostly resistant over generations. The antibiotic is a selection pressure, not a cause of the mutation.",5,5,5,4,19,"strong answer, near-duplicate quality to #8 for consistency checking"
27,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,Natural selection is a process resulting in the evolution of organisms best adapted to the environment.,3,0,4,4,11,"verbatim-sounding textbook definition, no application/example given"
28,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,Natural selection natural selection natural selection is very very very important and big topic in biology science field of study area. Giraffes.,1,1,1,1,4,"low-effort padding/repetition to appear substantive, no real content - tests robustness to gaming other than prompt injection"
29,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"Chameleons change their skin color to match their surroundings so they don't get eaten by predators, which is a great example of natural selection helping animals survive.",4,1,4,3,12,"mechanism explained correctly elsewhere in the answer's reasoning style, but the example given (individual physiological color change) is not actually heritable natural selection"
30,2,1,2,1,6,Mock fallback: partial content detected.,Mock fallback: weak or absent example.,Mock fallback: some structure present.,Mock fallback: limited vocabulary.,True,False,,,0,"Through natural selection, populations undergo genotypic and phenotypic shifts driven by differential reproductive success under selective pressure. Some animals adapt to survive better in their environment.",5,2,4,5,16,"excellent vocabulary and precise phrasing, but the example is vague/generic rather than specific"
